scenario,policy,funding_cost_rate,operating_cost_rate,target_margin_rate,approval_rate,approved_loans,approved_ead,avg_pd,actual_default_rate,avg_actual_rate,avg_required_rate,total_expected_loss,total_expected_profit,portfolio_rar,total_capital_charge,total_collection_cost,total_tail_risk_penalty,total_economic_profit,portfolio_economic_return,total_repriced_economic_profit,repriced_economic_return,underpriced_share,high_risk_share
Base,Conservative,0.04,0.02,0.05,0.612456863900345,36383,472913075.0,0.12555427129601737,0.12178764807739878,0.11976532721325893,0.12492746078413594,22171888.739963356,70401426.02503665,0.1488675821133443,5786167.343352333,2217188.873996336,1114804.4314349676,61283265.37625301,0.12958674356012045,66404435.60121636,0.14041573200575255,0.4659044059038562,0.0
Base,Balanced,0.04,0.02,0.05,0.8370844205033247,49727,667123675.0,0.15709829351022583,0.15530798157942366,0.1282221509441551,0.12987234235788706,44890819.34085436,122096139.31414564,0.1830187473321879,12993471.698872523,4489081.934085436,3095361.2700251197,101518224.41116257,0.15217302010929618,93121861.3470169,0.1395871033163632,0.43441188891346755,0.13421280189836507
Base,Growth,0.04,0.02,0.05,0.9350223045198216,55545,768067625.0,0.17665273665051762,0.17598343685300208,0.13282848141146816,0.13261715039600896,64016744.60387994,157799454.62112004,0.20544994930767982,20002920.939949356,6401674.4603879955,5421466.357371164,125973392.86341153,0.16401341335460082,104937379.49229148,0.13662518257072934,0.41944369430191736,0.22489873075884417
Base,Aggressive,0.04,0.02,0.05,0.9812137025502904,58289,818221850.0,0.18920617804976925,0.18880063133695896,0.135419988333991,0.134277530591328,77362390.38778974,176585978.43721023,0.2158167475449479,25182439.834640678,7736239.038778974,7501260.070246094,136166039.49354452,0.1664170169661743,108502951.05633426,0.13260822973174605,0.4109523237660622,0.26138722572011874
Higher Funding Cost,Conservative,0.06,0.02,0.05,0.612456863900345,36383,472913075.0,0.12555427129601737,0.12178764807739878,0.11976532721325893,0.1449274607841359,22171888.739963356,40192387.52503664,0.08498895388975372,5786167.343352333,2217188.873996336,1114804.4314349676,31074226.87625301,0.06570811533652988,66404435.60121636,0.14041573200575255,0.6822142209273562,0.0
Higher Funding Cost,Balanced,0.06,0.02,0.05,0.8370844205033247,49727,667123675.0,0.15709829351022583,0.15530798157942366,0.1282221509441551,0.14987234235788705,44890819.34085436,76616228.81414565,0.11484561511648594,12993471.698872523,4489081.934085436,3095361.2700251197,56038313.911162555,0.08399988789359418,93121861.34701693,0.13958710331636323,0.6463691756993183,0.13421280189836507
Higher Funding Cost,Growth,0.06,0.02,0.05,0.9350223045198216,55545,768067625.0,0.17665273665051762,0.17598343685300208,0.13282848141146816,0.15261715039600895,64016744.60387994,103094078.12112004,0.13422526189815648,20002920.939949356,6401674.4603879955,5421466.357371164,71268016.36341153,0.09278872594507746,104937379.49229151,0.1366251825707294,0.627293185705284,0.22489873075884417
Higher Funding Cost,Aggressive,0.06,0.02,0.05,0.9812137025502904,58289,818221850.0,0.18920617804976925,0.18880063133695896,0.135419988333991,0.15427753059132798,77362390.38778974,117016822.43721023,0.14301356342074004,25182439.834640678,7736239.038778974,7501260.070246094,76596883.4935445,0.0936138328419664,108502951.05633426,0.13260822973174605,0.6168745389353051,0.26138722572011874
High Margin Target,Conservative,0.04,0.02,0.08,0.612456863900345,36383,472913075.0,0.12555427129601737,0.12178764807739878,0.11976532721325893,0.1549274607841359,22171888.739963356,70401426.02503665,0.1488675821133443,5786167.343352333,2217188.873996336,1114804.4314349676,61283265.37625301,0.12958674356012045,111717993.35121636,0.2362336743411384,0.769837561498502,0.0
High Margin Target,Balanced,0.04,0.02,0.08,0.8370844205033247,49727,667123675.0,0.15709829351022583,0.15530798157942366,0.1282221509441551,0.15987234235788705,44890819.34085436,122096139.31414564,0.1830187473321879,12993471.698872523,4489081.934085436,3095361.2700251197,101518224.41116257,0.15217302010929618,161341727.09701693,0.2418468016399162,0.7353148189112555,0.13421280189836507
High Margin Target,Growth,0.04,0.02,0.08,0.9350223045198216,55545,768067625.0,0.17665273665051762,0.17598343685300208,0.13282848141146816,0.16261715039600894,64016744.60387994,157799454.62112004,0.20544994930767982,20002920.939949356,6401674.4603879955,5421466.357371164,125973392.86341153,0.16401341335460082,186995444.24229148,0.24346221368501436,0.7163741110811054,0.22489873075884417
High Margin Target,Aggressive,0.04,0.02,0.08,0.9812137025502904,58289,818221850.0,0.18920617804976925,0.18880063133695896,0.135419988333991,0.16427753059132802,77362390.38778974,176585978.43721023,0.2158167475449479,25182439.834640678,7736239.038778974,7501260.070246094,136166039.49354452,0.1664170169661743,197856685.05633426,0.24181300591805788,0.7064111581945135,0.26138722572011874
Stress Cost Scenario,Conservative,0.06,0.03,0.08,0.612456863900345,36383,472913075.0,0.12555427129601737,0.12178764807739878,0.11976532721325893,0.18492746078413594,22171888.739963356,25087868.275036648,0.05304963977795845,5786167.343352333,2217188.873996336,1114804.4314349676,15969707.626253007,0.0337688012247346,111717993.35121636,0.2362336743411384,0.9198526784487261,0.0
Stress Cost Scenario,Balanced,0.06,0.03,0.08,0.8370844205033247,49727,667123675.0,0.15709829351022583,0.15530798157942366,0.1282221509441551,0.18987234235788708,44890819.34085436,53876273.56414564,0.08075904900863493,12993471.698872523,4489081.934085436,3095361.2700251197,33298358.661162563,0.049913321785743196,161341727.09701693,0.2418468016399162,0.903131095782975,0.13421280189836507
Stress Cost Scenario,Growth,0.06,0.03,0.08,0.9350223045198216,55545,768067625.0,0.17665273665051762,0.17598343685300208,0.13282848141146816,0.19261715039600896,64016744.60387994,75741389.87112004,0.09861291819339481,20002920.939949356,6401674.4603879955,5421466.357371164,43915328.11341153,0.05717638224031579,186995444.24229148,0.24346221368501436,0.8900531100909173,0.22489873075884417
Stress Cost Scenario,Aggressive,0.06,0.03,0.08,0.9812137025502904,58289,818221850.0,0.18920617804976925,0.18880063133695896,0.135419988333991,0.19427753059132802,77362390.38778974,87232244.43721023,0.10661197135863609,25182439.834640678,7736239.038778974,7501260.070246094,46812305.493544504,0.05721224077986246,197856685.05633426,0.24181300591805788,0.8831168831168831,0.26138722572011874
